Figure,Quantity,Value,,Figure,Processed time (s),normalized std
1b,200k,10.14290774,,1c,0.32,1.264591872
1b,200k,13.29871056,,1c,0.64,0.904021714
1b,200k,11.61411186,,1c,1.6,0.404514648
1b,200k,12.7116431,,1c,3.2,0.427253536
1b,200k,10.14290774,,1c,6.4,0.343439907
1b,200k,15.22765621,,1c,12.8,0.181634212
1b,200k,11.61411186,,,,
1b,200k,8.467030078,,,,
1b,200k,12.7116431,,,,
1b,200k,15.22765621,,,,
1b,100k,8.646879646,,,,
1b,100k,14.38756883,,,,
1b,100k,6.703404307,,,,
1b,100k,10.24633964,,,,
1b,100k,13.78986711,,,,
1b,100k,15.01117707,,,,
1b,100k,7.613378374,,,,
1b,100k,7.943369179,,,,
1b,100k,21.99179851,,,,
1b,100k,13.78986711,,,,
1b,50k,12.60345025,,,,
1b,50k,12.11274649,,,,
1b,50k,6.416429853,,,,
1b,50k,6.946836826,,,,
1b,50k,13.64530032,,,,
1b,50k,10.33368773,,,,
1b,50k,9.544686896,,,,
1b,50k,6.416429853,,,,
1b,50k,4.313454439,,,,
1b,50k,17.31665641,,,,
1b,25k,17.60727532,,,,
1b,25k,12.62104546,,,,
1b,25k,26.44975214,,,,
1b,25k,7.519118655,,,,
1b,25k,13.59026605,,,,
1b,25k,9.046873279,,,,
1b,25k,8.718307712,,,,
1b,25k,6.982875689,,,,
1b,25k,18.27083808,,,,
1b,25k,17.60727532,,,,
1b,10k,20.2809272,,,,
1b,10k,10.05696056,,,,
1b,10k,1.830934239,,,,
1b,10k,20.96976536,,,,
1b,10k,13.58371714,,,,
1b,10k,8.230612561,,,,
1b,10k,6.514660762,,,,
1b,10k,7.445859971,,,,
1b,10k,2.09264618,,,,
1b,10k,6.514660762,,,,
1b,5k,20.09148506,,,,
1b,5k,18.32467471,,,,
1b,5k,11.21585007,,,,
1b,5k,15.71846019,,,,
1b,5k,23.42277322,,,,
1b,5k,488.4707379,,,,
1b,5k,281.1797001,,,,
1b,5k,2.651827152,,,,
1b,5k,1.77957747,,,,
1b,5k,7.299256511,,,,
