Category,Value,,,,,,,
100k,0.08920012,,,,,,,
100k,0.040703883,,,,,,,
50k,0.066138603,,,,,,,
50k,0.018559089,,,,,,,
50k,0.003364676,,,,,,,
50k,0.082986777,,,,,,,
20k,0.0146461,,,,,,,
20k,0.009374127,,,,,,,
20k,0.006155331,,,,,,,
20k,0.006155331,,,,,,,
20k,0.004289322,,,,,,,
20k,0.003453592,,,,,,,
20k,0.103212909,,,,,,,
20k,0.082989,,,,,,,
20k,0.002780695,,,,,,,
20k,0.107489968,,,,,,,
10k,0.057294619,,,,,,,
10k,0.010785135,,,,,,,
10k,0.026575488,,,,,,,
10k,0.065484256,,,,,,,
10k,0.013625924,,,,,,,
10k,0.020343943,,,,,,,
10k,0.007984978,,,,,,,
10k,0.006112623,,,,,,,
10k,0.005172479,,,,,,,
10k,0.004233155,,,,,,,
10k,0.004233155,,,,,,,
10k,0.003829543,,,,,,,
10k,0.047703745,,,,,,,
10k,0.003240545,,,,,,,
10k,0.003134096,,,,,,,
10k,0.003031144,,,,,,,
10k,0.073031144,,,,,,,
10k,0.002931573,,,,,,,
10k,0.002652061,,,,,,,
10k,0.10086413,,,,,,,
5k,0.085250293,,,,,,,
5k,0.073125627,,,,,,,
5k,0.010911986,,,,,,,
5k,0.042093498,,,,,,,
5k,0.011251983,,,,,,,
5k,0.027394378,,,,,,,
5k,0.011964087,,,,,,,
5k,0.010582263,,,,,,,
5k,0.080176182,,,,,,,
5k,0.011251983,,,,,,,
5k,0.012336865,,,,,,,
5k,0.008028811,,,,,,,
5k,0.008028811,,,,,,,
5k,0.007322772,,,,,,,
5k,0.006477008,,,,,,,
5k,0.075907432,,,,,,,
5k,0.005728929,,,,,,,
5k,0.005067251,,,,,,,
5k,0.005067251,,,,,,,
5k,0.004481995,,,,,,,
5k,0.004215226,,,,,,,
5k,0.003844547,,,,,,,
5k,0.003844547,,,,,,,
5k,0.003844547,,,,,,,
5k,0.003506464,,,,,,,
5k,0.003506464,,,,,,,
5k,0.04340051,,,,,,,
5k,0.063198112,,,,,,,
5k,0.003101475,,,,,,,
5k,0.003007759,,,,,,,
5k,0.043007759,,,,,,,
5k,0.002916875,,,,,,,
5k,0.002828737,,,,,,,
5k,0.062743262,,,,,,,
5k,0.042743262,,,,,,,
5k,0.082502025,,,,,,,
5k,0.02353104,,,,,,,
5k,0.032213047,,,,,,,
5k,0.052018435,,,,,,,
5k,0.112362961,,,,,,,
