time_CH1,G_CH1,time_CH2,G_CH2,time_CH1 to CH2,G_CH1 to CH2,time_CH2 to CH1,G_CH2 to CH1
0.000416761,0.518183822,0.000416761,0.582239239,0.000440045,0.541727817,0.000440045,0.565343767
0.000437195,0.521011405,0.000437195,0.585494212,0.000462878,0.545854957,0.000462878,0.568425251
0.000458631,0.524026316,0.000458631,0.588691668,0.000486895,0.550178424,0.000486895,0.571712717
0.000481119,0.527232056,0.000481119,0.591867701,0.000512158,0.554699862,0.000512158,0.575212353
0.000504708,0.530631893,0.000504708,0.595085671,0.000538732,0.559421286,0.000538732,0.578930165
0.000529455,0.534228813,0.000529455,0.598389878,0.000566685,0.564344719,0.000566685,0.582872118
0.000555414,0.538025667,0.000555414,0.601832551,0.000596088,0.569473236,0.000596088,0.587044006
0.000582647,0.542025097,0.000582647,0.605468033,0.000627017,0.574809386,0.000627017,0.591451672
0.000611215,0.546229678,0.000611215,0.609336852,0.000659551,0.580356641,0.000659551,0.596100054
0.000641183,0.550641919,0.000641183,0.61347536,0.000693772,0.58611794,0.000693772,0.600993932
0.000672621,0.555264212,0.000672621,0.617930775,0.00072977,0.592097122,0.00072977,0.606137745
0.000705601,0.56009891,0.000705601,0.622717547,0.000767635,0.59829716,0.000767635,0.611535394
0.000740197,0.565148339,0.000740197,0.627856452,0.000807465,0.604721646,0.000807465,0.617190023
0.00077649,0.570414819,0.00077649,0.633360213,0.000849361,0.611373724,0.000849361,0.623104309
0.000814562,0.575900606,0.000814562,0.639223289,0.000893432,0.618256348,0.000893432,0.629280053
0.000854501,0.581607858,0.000854501,0.645443406,0.000939789,0.625372151,0.000939789,0.635718654
0.000896398,0.587538675,0.000896398,0.652007532,0.000988551,0.632722756,0.000988551,0.642419434
0.000940349,0.593695068,0.000940349,0.65890222,0.001039843,0.640309025,0.001039843,0.649381809
0.000986455,0.600078782,0.000986455,0.666105684,0.001093797,0.648131437,0.001093797,0.656603559
0.001034822,0.606691315,0.001034822,0.673601339,0.00115055,0.656189367,0.00115055,0.664081292
0.001085561,0.613533894,0.001085561,0.681364828,0.001210248,0.664480167,0.001210248,0.671810843
0.001138787,0.620607317,0.001138787,0.689385725,0.001273044,0.673001167,0.001273044,0.679786107
0.001194623,0.627911917,0.001194623,0.697649051,0.001339098,0.681747379,0.001339098,0.688000608
0.001253196,0.635447437,0.001253196,0.70613878,0.001408579,0.690713015,0.001408579,0.696446065
0.001314642,0.643212966,0.001314642,0.714847554,0.001481665,0.699890497,0.001481665,0.705112768
0.0013791,0.651206874,0.0013791,0.723778367,0.001558543,0.709270316,0.001558543,0.713989562
0.001446719,0.659426632,0.001446719,0.73292358,0.00163941,0.718841595,0.00163941,0.723063784
0.001517653,0.667868844,0.001517653,0.742284601,0.001724474,0.728591501,0.001724474,0.732321808
0.001592065,0.676528998,0.001592065,0.751870365,0.00181395,0.738505761,0.00181395,0.741748749
0.001670126,0.685401458,0.001670126,0.761675679,0.00190807,0.74856863,0.00190807,0.751328574
0.001752014,0.694479432,0.001752014,0.771696571,0.002007073,0.758762429,0.002007073,0.761042943
0.001837917,0.703754936,0.001837917,0.781925101,0.002111213,0.769068177,0.002111213,0.770873219
0.001928032,0.713218591,0.001928032,0.792354133,0.002220756,0.779465048,0.002220756,0.780799832
0.002022566,0.722859711,0.002022566,0.802953637,0.002335983,0.789930322,0.002335983,0.790801594
0.002121735,0.732666179,0.002121735,0.813702599,0.002457189,0.800441319,0.002457189,0.800856352
0.002225765,0.742624392,0.002225765,0.824563067,0.002584684,0.810972605,0.002584684,0.810940557
0.002334897,0.7527193,0.002334897,0.835491057,0.002718794,0.821498547,0.002718794,0.821031659
0.00244938,0.762934309,0.00244938,0.846434772,0.002859863,0.831992646,0.002859863,0.831104718
0.002569475,0.773251351,0.002569475,0.857334393,0.003008251,0.842427362,0.003008251,0.841134857
0.002695459,0.783650927,0.002695459,0.868130892,0.003164338,0.85277367,0.003164338,0.851096353
0.002827621,0.794112066,0.002827621,0.878752846,0.003328524,0.863003193,0.003328524,0.860962968
0.002966262,0.80461247,0.002966262,0.889134258,0.00350123,0.873086861,0.00350123,0.870707799
0.003111701,0.815128417,0.003111701,0.899205867,0.003682896,0.882994947,0.003682896,0.88030398
0.003264271,0.82563496,0.003264271,0.908900305,0.003873989,0.892697426,0.003873989,0.889724545
0.003424322,0.836105979,0.003424322,0.91815833,0.004074996,0.902164202,0.004074996,0.898942114
0.00359222,0.846514268,0.00359222,0.926923278,0.004286433,0.911365271,0.004286433,0.907929126
0.00376835,0.856831635,0.00376835,0.935158865,0.004508841,0.92027166,0.004508841,0.916658178
0.003953117,0.867029083,0.003953117,0.942833165,0.004742789,0.928853398,0.004742789,0.92510208
0.004146942,0.877076944,0.004146942,0.949915239,0.004988875,0.937080807,0.004988875,0.93323317
0.004350271,0.886944922,0.004350271,0.956394741,0.00524773,0.944925183,0.00524773,0.941023807
0.00456357,0.896602176,0.00456357,0.962274733,0.005520016,0.952358171,0.005520016,0.948448077
0.004787326,0.906017604,0.004787326,0.967561926,0.005806431,0.95935214,0.005806431,0.955478966
0.005022054,0.91515979,0.005022054,0.972277034,0.006107706,0.965879376,0.006107706,0.96208994
0.005268291,0.923997264,0.005268291,0.976448,0.006424613,0.971912883,0.006424613,0.968255174
0.005526601,0.932498794,0.005526601,0.980108833,0.006757963,0.977427772,0.006757963,0.973949267
0.005797576,0.940633338,0.005797576,0.983303963,0.00710861,0.982398028,0.00710861,0.97914687
0.006081837,0.948370141,0.006081837,0.986076668,0.007477451,0.986799391,0.007477451,0.983822722
0.006380036,0.955678879,0.006380036,0.988470476,0.007865429,0.990608051,0.007865429,0.987953441
0.006692856,0.962529805,0.006692856,0.990529486,0.008273538,0.993801676,0.008273538,0.991515224
0.007021014,0.968893932,0.007021014,0.992294618,0.008702823,0.996357693,0.008702823,0.994484597
0.007365262,0.974742898,0.007365262,0.993802204,0.009154381,0.998255616,0.009154381,0.996839153
0.007726389,0.980049107,0.007726389,0.995093097,0.00962937,0.999475835,0.00962937,0.998556829
0.008105222,0.984786129,0.008105222,0.996197755,0.010129004,1,0.010129004,0.999617211
0.00850263,0.988928426,0.00850263,0.997139253,0.010654562,0.999810772,0.010654562,1
0.008919523,0.992451402,0.008919523,0.997937048,0.011207389,0.998892057,0.011207389,0.999685927
0.009356857,0.995331756,0.009356857,0.998605313,0.011788901,0.997228769,0.011788901,0.99865614
0.009815633,0.997547238,0.009815633,0.999149664,0.012400585,0.994807973,0.012400585,0.99689466
0.010296905,0.999076666,0.010296905,0.999567092,0.013044007,0.991618548,0.013044007,0.994384588
0.010801773,0.999900306,0.010801773,0.999852904,0.013720815,0.987650738,0.013720815,0.991111967
0.011331395,1,0.011331395,1,0.014432739,0.982896384,0.014432739,0.987063818
0.011886986,0.99935894,0.011886986,0.999990854,0.015181603,0.977350349,0.015181603,0.982228999
0.012469818,0.997961914,0.012469818,0.99979718,0.015969322,0.971008459,0.015969322,0.976597939
0.013081226,0.995795467,0.013081226,0.999386713,0.016797914,0.963869519,0.016797914,0.970163602
0.013722613,0.992847994,0.013722613,0.998721145,0.017669498,0.955934446,0.017669498,0.962920415
0.014395447,0.989109705,0.014395447,0.997757351,0.018586306,0.947204887,0.018586306,0.954864337
0.015101271,0.98457257,0.015101271,0.996447921,0.019550683,0.937686864,0.019550683,0.945995226
0.015841703,0.979230872,0.015841703,0.994738226,0.020565099,0.927388705,0.020565099,0.936314649
0.016618439,0.973081532,0.016618439,0.992563944,0.021632149,0.916321256,0.021632149,0.925827004
0.017433258,0.966123449,0.017433258,0.989844209,0.022754565,0.904496994,0.022754565,0.914539046
0.01828803,0.958358122,0.01828803,0.986498803,0.023935218,0.891931219,0.023935218,0.902460813
0.019184712,0.94978961,0.019184712,0.982463317,0.025177132,0.878641997,0.025177132,0.889605036
0.020125359,0.940424584,0.020125359,0.977650042,0.026483484,0.864649037,0.026483484,0.875985636
0.021112127,0.930272991,0.021112127,0.97195973,0.027857618,0.849974275,0.027857618,0.861621481
0.022147277,0.919347418,0.022147277,0.965309762,0.029303051,0.834643448,0.029303051,0.846532448
0.023233182,0.907663082,0.023233182,0.957623628,0.030823482,0.818682146,0.030823482,0.830741754
0.024372329,0.895237776,0.024372329,0.948818324,0.032422804,0.802119903,0.032422804,0.814276173
0.025567331,0.882091919,0.025567331,0.938814228,0.034105108,0.784986146,0.034105108,0.797163431
0.026820925,0.868248523,0.026820925,0.927552202,0.035874701,0.767312548,0.035874701,0.779433869
0.028135983,0.853733007,0.028135983,0.914993025,0.037736112,0.749133489,0.037736112,0.761120702
0.029515521,0.838572142,0.029515521,0.90110444,0.039694105,0.730483719,0.039694105,0.742259256
0.030962699,0.82279475,0.030962699,0.885869153,0.041753692,0.711399487,0.041753692,0.722886379
0.032480833,0.806431033,0.032480833,0.869284321,0.043920143,0.691918067,0.043920143,0.703040964
0.034073403,0.789512348,0.034073403,0.851369035,0.046199003,0.67207637,0.046199003,0.682762962
0.035744059,0.772071034,0.035744059,0.832174511,0.048596106,0.651912951,0.048596106,0.662094942
0.037496628,0.75413865,0.037496628,0.811759356,0.051117585,0.631467552,0.051117585,0.641081037
0.039335128,0.735747272,0.039335128,0.790203053,0.053769896,0.610780057,0.053769896,0.619765451
0.041263772,0.716929153,0.041263772,0.767607397,0.056559825,0.58989115,0.056559825,0.598193641
0.043286979,0.697715392,0.043286979,0.744072541,0.059494514,0.568841282,0.059494514,0.576412759
0.045409386,0.678137268,0.045409386,0.719726892,0.062581473,0.547671189,0.062581473,0.554471453
