Figure 4 c,time_CH1,G_CH1,time_CH2,G_CH2,time_CH1 to CH2,G_CH1 to CH2,time_CH2 to CH1,G_CH2 to CH1,,,Figure 4 f,time_CH1,G_CH1,time_CH2,G_CH2,time_CH1 to CH2,G_CH1 to CH2,time_CH2 to CH1,G_CH2 to CH1
Figure 4 c,0.000385903,-0.275687271,0.000385903,-0.207244085,0.000407463,0,0.000407463,-5.60374882,,,Figure 4 f,0.000385903,-0.275687271,0.000385903,-0.207244085,0.000407463,0,0.000407463,-5.60374882
Figure 4 c,0.00040327,-0.273496094,0.00040327,-0.2047815,0.000426959,-0.007742657,0.000426959,-5.58200872,,,Figure 4 f,0.00040327,-0.273496094,0.00040327,-0.2047815,0.000426959,-0.007742657,0.000426959,-5.58200872
Figure 4 c,0.000421418,-0.271107777,0.000421418,-0.20212423,0.000447388,-0.015362566,0.000447388,-5.559187483,,,Figure 4 f,0.000421418,-0.271107777,0.000421418,-0.20212423,0.000447388,-0.015362566,0.000447388,-5.559187483
Figure 4 c,0.000440384,-0.268509301,0.000440384,-0.199263018,0.000468795,-0.02280573,0.000468795,-5.53528307,,,Figure 4 f,0.000440384,-0.268509301,0.000440384,-0.199263018,0.000468795,-0.02280573,0.000468795,-5.53528307
Figure 4 c,0.000460203,-0.265687466,0.000460203,-0.196187619,0.000491226,-0.030017776,0.000491226,-5.510321593,,,Figure 4 f,0.000460203,-0.265687466,0.000460203,-0.196187619,0.000491226,-0.030017776,0.000491226,-5.510321593
Figure 4 c,0.000480914,-0.26262837,0.000480914,-0.192887738,0.000514731,-0.036946924,0.000514731,-5.484309024,,,Figure 4 f,0.000480914,-0.26262837,0.000480914,-0.192887738,0.000514731,-0.036946924,0.000514731,-5.484309024
Figure 4 c,0.000502557,-0.259317781,0.000502557,-0.189352494,0.000539359,-0.043545709,0.000539359,-5.457268553,,,Figure 4 f,0.000502557,-0.259317781,0.000502557,-0.189352494,0.000539359,-0.043545709,0.000539359,-5.457268553
Figure 4 c,0.000525174,-0.255740811,0.000525174,-0.18557095,0.000565167,-0.04977214,0.000565167,-5.429230122,,,Figure 4 f,0.000525174,-0.255740811,0.000525174,-0.18557095,0.000565167,-0.04977214,0.000565167,-5.429230122
Figure 4 c,0.000548808,-0.251881661,0.000548808,-0.181531673,0.000592209,-0.055589369,0.000592209,-5.400213971,,,Figure 4 f,0.000548808,-0.251881661,0.000548808,-0.181531673,0.000592209,-0.055589369,0.000592209,-5.400213971
Figure 4 c,0.000573507,-0.247724652,0.000573507,-0.177222912,0.000620545,-0.06096094,0.000620545,-5.370250323,,,Figure 4 f,0.000573507,-0.247724652,0.000573507,-0.177222912,0.000620545,-0.06096094,0.000620545,-5.370250323
