Figure,Time (s),RBM10,mCherry,ccpCF V-R,ccpCF R-V,,Figure,Time (s),RBM10,mCherry,ccpCF V-R,ccpCF R-V
Figure 5d,0.00061,0.362499088,1,0.717892241,-0.595325187,,Figure 5e,0.00061,0.362509343,1,0.684524889,-0.981502111
Figure 5d,0.000631722,0.363779399,0.998980936,0.720268142,-0.59048318,,Figure 5e,0.000631722,0.36378961,0.998777037,0.690305679,-0.979572098
Figure 5d,0.000654218,0.36635272,0.99692802,0.724996508,-0.580788831,,Figure 5e,0.000654218,0.366362843,0.996316125,0.701715161,-0.97572383
Figure 5d,0.000677515,0.370241453,0.993809804,0.732037634,-0.566207733,,Figure 5e,0.000677515,0.370251444,0.992584205,0.718471437,-0.969964074
Figure 5d,0.000701641,0.375484117,0.98957896,0.741313349,-0.54670914,,Figure 5e,0.000701641,0.375493928,0.987531171,0.740083761,-0.962319767
Figure 5d,0.000726627,0.38212744,0.984176981,0.752705242,-0.522270713,,Figure 5e,0.000726627,0.382137026,0.981097099,0.765850651,-0.952838403
Figure 5d,0.000752502,0.390224688,0.977534113,0.766078328,-0.492863962,,Figure 5e,0.000752502,0.390234001,0.973211692,0.79496929,-0.941558448
Figure 5d,0.000779299,0.399833309,0.969570036,0.781258932,-0.458476284,,Figure 5e,0.000779299,0.3998423,0.963794775,0.826441713,-0.928543577
Figure 5d,0.00080705,0.411010912,0.960198051,0.798067421,-0.419112087,,Figure 5e,0.00080705,0.411019532,0.952763401,0.859236911,-0.913869624
Figure 5d,0.000835789,0.423813486,0.949326713,0.816263971,-0.374815723,,Figure 5e,0.000835789,0.423821685,0.940034437,0.892066582,-0.897635841
Figure 5d,0.000865552,0.438289823,0.936859346,0.835561748,-0.325678141,,Figure 5e,0.000865552,0.438297554,0.92551904,0.92345981,-0.879961608
Figure 5d,0.000896374,0.454476431,0.922699533,0.85562523,-0.271869843,,Figure 5e,0.000896374,0.454483645,0.909131483,0.951783383,-0.861005754
Figure 5d,0.000928294,0.472394303,0.906752669,0.876072425,-0.213619166,,Figure 5e,0.000928294,0.472400953,0.890788625,0.975241349,-0.840951133
Figure 5d,0.000961351,0.492044923,0.888930423,0.896488649,-0.151226206,,Figure 5e,0.000961351,0.492050966,0.870417248,0.991983453,-0.819988617
Figure 5d,0.000995585,0.513406291,0.869154997,0.916404203,-0.085017162,,Figure 5e,0.000995585,0.513411687,0.84796011,1,-0.798259105
Figure 5d,0.001031038,0.53642803,0.847361256,0.935333253,-0.015435047,,Figure 5e,0.001031038,0.536432742,0.823376324,0.99732879,-0.775958261
Figure 5d,0.001067753,0.561026154,0.823498101,0.952765438,0.056981508,,Figure 5e,0.001067753,0.561030156,0.796642092,0.982015009,-0.753319492
Figure 5d,0.001105776,0.587084645,0.797537969,0.968176854,0.131605183,,Figure 5e,0.001105776,0.587087913,0.767761101,0.952171394,-0.730601572
Figure 5d,0.001145153,0.6144517,0.769478938,0.981055188,0.207749216,,Figure 5e,0.001145153,0.614454224,0.736766318,0.90611272,-0.708031209
Figure 5d,0.001185932,0.642939783,0.739351741,0.990940177,0.284693808,,Figure 5e,0.001185932,0.64294156,0.703728437,0.842553064,-0.685776994
Figure 5d,0.001228164,0.672322437,0.707213583,0.99738776,0.361646351,,Figure 5e,0.001228164,0.672323475,0.668744895,0.760407785,-0.664029245
Figure 5d,0.001271899,0.702340691,0.673152604,1,0.437693624,,Figure 5e,0.001271899,0.702341012,0.631946711,0.658890307,-0.643056169
Figure 5d,0.001317191,0.732703771,0.63729091,0.998448901,0.511951789,,Figure 5e,0.001317191,0.732703409,0.593500081,0.537676727,-0.623045247
Figure 5d,0.001364097,0.763088655,0.599788578,0.99245491,0.583583555,,Figure 5e,0.001364097,0.763087659,0.553608018,0.396818471,-0.60409367
Figure 5d,0.001412672,0.793143606,0.560842434,0.981864372,0.651730739,,Figure 5e,0.001412672,0.793142037,0.51250158,0.236973416,-0.586321839
Figure 5d,0.001462978,0.822501599,0.520684585,0.966644222,0.715571356,,Figure 5e,0.001462978,0.822499532,0.470449791,0.059381431,-0.569832054
Figure 5d,0.001515075,0.850782434,0.479579834,0.946878795,0.774335331,,Figure 5e,0.001515075,0.850779956,0.427753489,-0.134161603,-0.554691584
Figure 5d,0.001569027,0.87760339,0.437824595,0.922779418,0.827325343,,Figure 5e,0.001569027,0.877600603,0.384740337,-0.341303954,-0.540943746
Figure 5d,0.0016249,0.902586798,0.395745687,0.894644074,0.873949263,,Figure 5e,0.0016249,0.902583813,0.341765385,-0.559303671,-0.528605332
Figure 5d,0.001682763,0.925369139,0.353693503,0.862896649,0.913698546,,Figure 5e,0.001682763,0.925366079,0.29920248,-0.784971432,-0.517708436
Figure 5d,0.001742687,0.945613228,0.312035911,0.828064642,0.946156729,,Figure 5e,0.001742687,0.945610218,0.257433379,-1.014791425,-0.508312784
Figure 5d,0.001804744,0.963014759,0.271152272,0.790773962,0.971097803,,Figure 5e,0.001804744,0.963011932,0.216845896,-1.244892485,-0.500360004
Figure 5d,0.001869012,0.977310766,0.231423147,0.751761654,0.98837396,,Figure 5e,0.001869012,0.977308253,0.177823245,-1.471144668,-0.493900172
Figure 5d,0.001935568,0.988286628,0.193227376,0.711816743,0.997964824,,Figure 5e,0.001935568,0.988284561,0.140741935,-1.689374923,-0.488982979
Figure 5d,0.002004494,0.995781894,0.156939178,0.671724089,1,,Figure 5e,0.002004494,0.9957804,0.105975014,-1.895589481,-0.485594293
Figure 5d,0.002075874,0.999697863,0.122906008,0.632304121,0.994680404,,Figure 5e,0.002075874,0.999697062,0.073860083,-2.085979232,-0.483903562
Figure 5d,0.002149796,1,0.091445074,0.59438083,0.982301445,,Figure 5e,0.002149796,1,0.044700878,-2.256810628,-0.483993705
Figure 5d,0.002226351,0.996709475,0.062843584,0.558719448,0.963203696,,Figure 5e,0.002226351,0.996710371,0.018761366,-2.404864372,-0.486042212
Figure 5d,0.002305632,0.98991553,0.037352703,0.526015164,0.937883327,,Figure 5e,0.002305632,0.9899174,-0.003729903,-2.527505279,-0.490169583
Figure 5d,0.002387736,0.97977025,0.015181487,0.496936878,0.906831146,,Figure 5e,0.002387736,0.979773155,-0.022587843,-2.622391312,-0.496553782
Figure 5d,0.002472764,0.966464395,-0.003517582,0.47197079,0.870475543,,Figure 5e,0.002472764,0.966468373,-0.037683791,-2.6881722,-0.505547328
Figure 5d,0.002560819,0.950261135,-0.018653551,0.451596894,0.829361103,,Figure 5e,0.002560819,0.950266204,-0.048951901,-2.723634909,-0.517345593
Figure 5d,0.00265201,0.931452269,-0.030190646,0.436032753,0.783936891,,Figure 5e,0.00265201,0.931458425,-0.056387743,-2.72887687,-0.532261583
Figure 5d,0.002746449,0.910346938,-0.038147657,0.425477312,0.734696017,,Figure 5e,0.002746449,0.910354151,-0.060046483,-2.704143591,-0.55054594
Figure 5d,0.002844251,0.887284747,-0.042599847,0.419953777,0.682090381,,Figure 5e,0.002844251,0.88729297,-0.060030917,-2.650534856,-0.572398002
Figure 5d,0.002945535,0.862627449,-0.043670718,0.419337348,0.626463788,,Figure 5e,0.002945535,0.86263661,-0.05648814,-2.569831837,-0.59815169
Figure 5d,0.003050426,0.836721466,-0.041548991,0.423432403,0.568120788,,Figure 5e,0.003050426,0.836731478,-0.049649124,-2.464025882,-0.628026498
Figure 5d,0.003159052,0.809927145,-0.036463871,0.431875463,0.507429125,,Figure 5e,0.003159052,0.809937902,-0.039760697,-2.335859733,-0.662073868
Figure 5d,0.003271547,0.782571095,-0.028684629,0.444193527,0.444655709,,Figure 5e,0.003271547,0.782582475,-0.027141279,-2.188538382,-0.700399138
Figure 5d,0.003388047,0.754968718,-0.018515518,0.45982972,0.379954201,,Figure 5e,0.003388047,0.754980591,-0.01211626,-2.025562833,-0.743181078
Figure 5d,0.003508696,0.727401211,-0.006276426,0.478197915,0.313559696,,Figure 5e,0.003508696,0.727413437,0.004960844,-1.850376392,-0.790307433
Figure 5d,0.003633642,0.700117104,0.007685749,0.49866418,0.245703215,,Figure 5e,0.003633642,0.700129538,0.023711575,-1.666605805,-0.841633152
Figure 5d,0.003763036,0.67333923,0.023003332,0.520516866,0.176428944,,Figure 5e,0.003763036,0.673351726,0.043738914,-1.478141915,-0.897205351
Figure 5d,0.003897039,0.64724589,0.039335506,0.543035868,0.105893592,,Figure 5e,0.003897039,0.647258304,0.064679421,-1.288824287,-0.956848686
Figure 5d,0.004035813,0.621976614,0.056317833,0.565554522,0.034296463,,Figure 5e,0.004035813,0.621988807,0.08613472,-1.102044602,-1.020254872
Figure 5d,0.004179529,0.597649456,0.073627649,0.58738006,-0.038218467,,Figure 5e,0.004179529,0.597661296,0.107761468,-0.921372088,-1.087249438
Figure 5d,0.004328363,0.57435673,0.090934645,0.607894975,-0.111430142,,Figure 5e,0.004328363,0.574368099,0.129220572,-0.749881644,-1.157491346
Figure 5d,0.004482497,0.552150754,0.107968763,0.626529521,-0.185172643,,Figure 5e,0.004482497,0.552161546,0.150229448,-0.590367604,-1.230695012
Figure 5d,0.00464212,0.531058416,0.124463897,0.642723856,-0.259165235,,Figure 5e,0.00464212,0.531068538,0.170513788,-0.445509039,-1.306437388
Figure 5d,0.004807426,0.511099838,0.140201632,0.656027833,-0.333244975,,Figure 5e,0.004807426,0.511109215,0.189852807,-0.317484916,-1.384496006
Figure 5d,0.00497862,0.492281872,0.154988942,0.666085242,-0.407104158,,Figure 5e,0.00497862,0.492290449,0.208068615,-0.207989043,-1.464435522
Figure 5d,0.005155909,0.474596517,0.168686746,0.672556927,-0.480478427,,Figure 5e,0.005155909,0.474604255,0.225045129,-0.118547504,-1.545900001
Figure 5d,0.005339512,0.458021076,0.181197605,0.675199606,-0.552977116,,Figure 5e,0.005339512,0.458027958,0.240701583,-0.050283199,-1.628398983
Figure 5d,0.005529653,0.442556451,0.192437774,0.673878969,-0.624435329,,Figure 5e,0.005529653,0.442562477,0.254990321,-0.003737359,-1.711717096
Figure 5d,0.005726565,0.428179969,0.202387418,0.668506643,-0.694357649,,Figure 5e,0.005726565,0.428185159,0.267927953,0.020769371,-1.795222913
Figure 5d,0.00593049,0.414872675,0.211056807,0.659056947,-0.762549176,,Figure 5e,0.00593049,0.414877065,0.279576024,0.023301239,-1.878622527
Figure 5d,0.006141676,0.402605982,0.218472117,0.645627354,-0.828547716,,Figure 5e,0.006141676,0.402609627,0.290008177,0.004447786,-1.961293908
Figure 5d,0.006360382,0.391368168,0.224692421,0.628289309,-0.892080544,,Figure 5e,0.006360382,0.391371139,0.299346666,-0.03518492,-2.042774598
Figure 5d,0.006586876,0.381133745,0.229814788,0.60718399,-0.952810781,,Figure 5e,0.006586876,0.381136123,0.307740192,-0.094652382,-2.122501295
Figure 5d,0.006821436,0.371877251,0.233928503,0.582524214,-1.0104614,,Figure 5e,0.006821436,0.371879133,0.315333396,-0.172695478,-2.199967753
Figure 5d,0.007064349,0.363571885,0.237141067,0.554571042,-1.06469247,,Figure 5e,0.007064349,0.363573376,0.322295921,-0.267730984,-2.274509897
Figure 5d,0.007315912,0.356196606,0.239577848,0.523571009,-1.115191679,,Figure 5e,0.007315912,0.356197818,0.328796576,-0.378241366,-2.345511108
Figure 5d,0.007576433,0.349704271,0.241350138,0.489860421,-1.161693549,,Figure 5e,0.007576433,0.349705321,0.334992678,-0.502209626,-2.412280026
Figure 5d,0.007846231,0.344054453,0.242586539,0.453752657,-1.204029027,,Figure 5e,0.007846231,0.34405546,0.341044513,-0.637805855,-2.474337057
Figure 5d,0.008125637,0.339186217,0.243389126,0.415591256,-1.24203361,,Figure 5e,0.008125637,0.339187303,0.347078034,-0.782949883,-2.531129362
Figure 5d,0.008414993,0.335040869,0.243853758,0.375751158,-1.275426578,,Figure 5e,0.008414993,0.335042148,0.353193859,-0.935485125,-2.581874973
Figure 5d,0.008714652,0.331539126,0.244066075,0.33460237,-1.304211239,,Figure 5e,0.008714652,0.331540713,0.359475572,-1.093372036,-2.626338653
Figure 5d,0.009024983,0.328597611,0.244099639,0.292534688,-1.328257989,,Figure 5e,0.009024983,0.328599611,0.36598305,-1.254331134,-2.663927583
Figure 5d,0.009346364,0.326130582,0.243992017,0.249939668,-1.347567713,,Figure 5e,0.009346364,0.326133092,0.372724706,-1.416298432,-2.694356477
Figure 5d,0.00967919,0.324033464,0.243789811,0.207204494,-1.362249014,,Figure 5e,0.00967919,0.324036572,0.379696557,-1.577250506,-2.717548869
Figure 5d,0.010023868,0.322220518,0.243505702,0.164724246,-1.372404029,,Figure 5e,0.010023868,0.322224297,0.386851587,-1.735180856,-2.733366428
Figure 5d,0.01038082,0.320583226,0.243138941,0.122870605,-1.378132931,,Figure 5e,0.01038082,0.320587739,0.394118927,-1.888258853,-2.741783288
Figure 5d,0.010750483,0.319018598,0.242669447,0.082029122,-1.379644895,,Figure 5e,0.010750483,0.319023893,0.401393791,-2.034784666,-2.743009475
Figure 5d,0.01113331,0.317442537,0.242065622,0.042554817,-1.377248532,,Figure 5e,0.01113331,0.317448648,0.408556216,-2.173218582,-2.737394709
Figure 5d,0.011529769,0.315757311,0.241289571,0.004782168,-1.371161023,,Figure 5e,0.011529769,0.31576426,0.415469139,-2.302201253,-2.725224912
