Figure,Time (s),RBM10,NS5,ccpCF V-R,ccpCF R-V,,Figure,Category,Value,Condition
Fig 6b,0.003261795,0.350833071,1,0.032259634,-0.722706735,,Fig 6c,Entry,0.11,RBM10(+NS5)
Fig 6b,0.003372581,0.385099025,0.907302955,0.115463215,-0.724650625,,Fig 6c,Entry,0.011964087,RBM10(+NS5)
Fig 6b,0.00348713,0.423766111,0.812953249,0.199737252,-0.712882211,,Fig 6c,Entry,0.03,RBM10(+NS5)
Fig 6b,0.00360557,0.465891229,0.719335318,0.283719346,-0.686718504,,Fig 6c,Entry,0.053592289,RBM10(+NS5)
Fig 6b,0.003728032,0.508330714,0.628702044,0.366095757,-0.645476516,,Fig 6c,Entry,0.01,RBM10(+NS5)
Fig 6b,0.003854654,0.549827098,0.543207643,0.44579603,-0.589051172,,Fig 6c,Entry,0.08,RBM10(+NS5)
Fig 6b,0.003985577,0.589437284,0.464669221,0.52155508,-0.517915309,,Fig 6c,Entry,0.460876858,RBM10(+NS5)
Fig 6b,0.004120946,0.625903804,0.394690105,0.592545738,-0.433067143,,Fig 6c,Entry,0.1,RBM10(+NS5)
Fig 6b,0.004260914,0.660169758,0.334561181,0.65798949,-0.335662499,,Fig 6c,Entry,0.060287851,RBM10(+NS5)
Fig 6b,0.004405635,0.690663313,0.285228002,0.717302452,-0.227750341,,Fig 6c,Entry,0.056,RBM10(+NS5)
Fig 6b,0.004555271,0.718641936,0.247134564,0.770241339,-0.111169486,,Fig 6c,Entry,0.22885617,RBM10(+NS5)
Fig 6b,0.00470999,0.744105627,0.220363092,0.816611522,0.011295576,,Fig 6c,Entry,0.036,RBM10(+NS5)
Fig 6b,0.004869964,0.767997485,0.204617586,0.856607629,0.137017968,,Fig 6c,Entry,0.046055969,RBM10(+NS5)
Fig 6b,0.005035372,0.790946243,0.199232047,0.890570261,0.26316066,,Fig 6c,Entry,0.081774446,RBM10(+NS5)
Fig 6b,0.005206397,0.814523735,0.203219812,0.918742701,0.386781549,,Fig 6c,Entry,0.515386343,RBM10(+NS5)
Fig 6b,0.005383232,0.838415593,0.215347552,0.941757493,0.505043606,,Fig 6c,Entry,0.011833863,RBM10(+NS5)
Fig 6b,0.005566072,0.862621817,0.234176383,0.960101207,0.615319954,,Fig 6c,Entry,0.041664735,RBM10(+NS5)
Fig 6b,0.005755123,0.887771141,0.258185197,0.974406384,0.715141326,,Fig 6c,Entry,0.207035744,RBM10(+NS5)
Fig 6b,0.005950595,0.912920465,0.285754222,0.985110938,0.802248608,,Fig 6c,Entry,0.029833965,RBM10(+NS5)
Fig 6b,0.006152706,0.937441056,0.315271908,0.992750097,0.874960597,,Fig 6c,Entry,0.06,RBM10(+NS5)
Fig 6b,0.006361681,0.959132348,0.345167815,0.997664461,0.931806241,,Fig 6c,Entry,0.06,RBM10(+NS5)
Fig 6b,0.006577755,0.978623075,0.374003059,1,0.971892403,,Fig 6c,Entry,0.024,RBM10(+NS5)
Fig 6b,0.006801167,0.992769569,0.400527865,0.999951343,0.994588631,,Fig 6c,Entry,0.12,RBM10(+NS5)
Fig 6b,0.007032167,1,0.423607571,0.997323861,1,,Fig 6c,Entry,0.04,RBM10(+NS5)
Fig 6b,0.007271014,1,0.442436401,0.99187427,0.988336661,,Fig 6c,Entry,0.069534507,RBM10(+NS5)
Fig 6b,0.007517972,0.98994027,0.456290803,0.983553912,0.960544289,,Fig 6c,Exit,0.11,RBM10(+NS5)
Fig 6b,0.007773319,0.970135178,0.46470211,0.971827559,0.917516024,,Fig 6c,Exit,0.022099613,RBM10(+NS5)
Fig 6b,0.008037338,0.939327256,0.467448323,0.956305956,0.86088053,,Fig 6c,Exit,0.135074915,RBM10(+NS5)
Fig 6b,0.008310325,0.897202138,0.464389666,0.936745815,0.792424083,,Fig 6c,Exit,0.074844511,RBM10(+NS5)
Fig 6b,0.008592584,0.844074191,0.455739915,0.912660568,0.713670274,,Fig 6c,Exit,0.023498231,RBM10(+NS5)
Fig 6b,0.00888443,0.78120088,0.441729292,0.883758272,0.626983293,,Fig 6c,Exit,0.04,RBM10(+NS5)
Fig 6b,0.009186188,0.708896573,0.422752463,0.849990269,0.534254492,,Fig 6c,Exit,0.018383709,RBM10(+NS5)
Fig 6b,0.009498195,0.629676202,0.399286313,0.811210588,0.437480298,,Fig 6c,Exit,0.112362961,RBM10(+NS5)
Fig 6b,0.009820799,0.545425967,0.371972176,0.767711172,0.338814753,,Fig 6c,Exit,0.644527323,RBM10(+NS5)
Fig 6b,0.010154361,0.458346432,0.341467827,0.719686649,0.240201744,,Fig 6c,Exit,0.015816175,RBM10(+NS5)
Fig 6b,0.010499252,0.370952531,0.308521485,0.667623589,0.1432174,,Fig 6c,Exit,0.196099372,RBM10(+NS5)
Fig 6b,0.010855858,0.285759195,0.273930703,0.612154535,0.049595461,,Fig 6c,Exit,0.2,RBM10(+NS5)
Fig 6b,0.011224575,0.205281358,0.238460147,0.553863371,-0.039193023,,Fig 6c,Exit,0.02881104,RBM10(+NS5)
Fig 6b,0.011605816,0.132033952,0.202940258,0.493771896,-0.121992224,,Fig 6c,Exit,0.019982131,RBM10(+NS5)
Fig 6b,0.012000005,0.067274442,0.168127477,0.432804593,-0.19780393,,Fig 6c,Exit,0.012582793,RBM10(+NS5)
Fig 6b,0.012407583,0.013517762,0.134811136,0.371739977,-0.265629925,,Fig 6c,Exit,0.118173655,RBM10(+NS5)
Fig 6b,0.012829005,-0.027664257,0.103665455,0.311697158,-0.325049911,,Fig 6c,Exit,0.044543071,RBM10(+NS5)
Fig 6b,0.01326474,-0.056900346,0.075323543,0.253746594,-0.375485972,,Fig 6c,Exit,0.029708738,RBM10(+NS5)
Fig 6b,0.013715274,-0.072618673,0.050319843,0.198472168,-0.41672796,,Fig 6c,Exit,0.098,RBM10(+NS5)
Fig 6b,0.014181111,-0.075447972,0.029065465,0.146992993,-0.448775875,,Fig 6c,Exit,0.056275648,RBM10(+NS5)
Fig 6b,0.01466277,-0.066331342,0.011839963,0.099649669,-0.471629715,,Fig 6c,Exit,0.033778027,RBM10(+NS5)
Fig 6b,0.015160788,-0.046211883,-0.001134663,0.057172051,-0.48555217,,Fig 6c,Exit,0.032,RBM10(+NS5)
Fig 6b,0.015675722,-0.015403961,-0.009866636,0.01990074,-0.491016076,,Fig 6c,Exit,0.048,RBM10(+NS5)
Fig 6b,0.016208145,0.022320025,-0.014364178,-0.011872324,-0.488441736,,Fig 6c,Exit,0.035,RBM10(+NS5)
Fig 6b,0.016758652,0.066960075,-0.014865732,-0.038098482,-0.478617211,,Fig 6c,Exit,0.29,RBM10(+NS5)
Fig 6b,0.017327857,0.115686891,-0.011733075,-0.058777735,-0.462278029,,Fig 6c,Exit,0.599661523,RBM10(+NS5)
Fig 6b,0.017916394,0.166614272,-0.00535265,-0.074153367,-0.440422402,,Fig 6c,Exit,0.017694931,RBM10(+NS5)
