Entry,Condition,Exit,Condition
0.117732897,RBM10,0.056218281,RBM10
0.113660917,RBM10,0.013,RBM10
0.071925737,RBM10,0.012818495,RBM10
0.071925737,RBM10,0.01375341,RBM10
0.058232341,RBM10,0.01375341,RBM10
0.048,RBM10,0.036849994,RBM10
0.043941088,RBM10,0.06,RBM10
0.04551531,RBM10,0.05,RBM10
0.047145925,RBM10,0.023,RBM10
0.082800135,RBM10,0.02,RBM10
0.014756513,RBM10,0.06,RBM10
0.014756513,RBM10,0.062479507,RBM10
0.015832778,RBM10,0.019555872,RBM10
0.016399998,RBM10,0.024,RBM10
0.326746941,RBM10,0.006802629,RBM10
0.326746941,RBM10,0.006340207,RBM10
0.015285175,RBM10,0.13,RBM10
0.015832778,RBM10,0.186047852,RBM10
0.033157162,RBM10,0.186047852,RBM10
0.0377,RBM10,0.062479507,RBM10
0.007831113,RBM10,0.056218281,RBM10
0.020256475,RBM10,0.045,RBM10
0.03817017,RBM10,0.04551531,RBM10
0.040954106,RBM10,0.050584506,RBM10
0.117732897,RBM10,0.052396733,RBM10
0.010019136,RBM10,0.014756513,RBM10
0.010019136,RBM10,0.048,RBM10
0.038585816,RBM10,0.045,RBM10
0.040185202,RBM10,0.050584506,RBM10
0.040185202,RBM10,0.036849994,RBM10
0.125297815,RBM10,0.246557429,RBM10
0.007601313,RBM10,0.012818495,RBM10
0.010100851,RBM10,0.332098514,RBM10
0.239971206,RBM10,0.34,RBM10
0.239971206,RBM10,0.023,RBM10
0.024683369,RBM10,0.024683369,RBM10
0.045392238,RBM10,0.02185189,RBM10
0.024683369,RBM10,0.020982176,RBM10
0.057917852,RBM10,0.306189269,RBM10
0.076962963,RBM10,0.024683369,RBM10
0.478644669,RBM10,0.019345216,RBM10
0.00858626,RBM10,0.019345216,RBM10
0.06813439,RBM10,0.3,RBM10
0.159872711,RBM10,0.040185202,RBM10
0.153509721,RBM10,0.04358561,RBM10
0.147399977,RBM10,0.057917852,RBM10
0.147399977,RBM10,0.062818766,RBM10
0.147399977,RBM10,0.07095857,RBM10
0.07,RBM10,0.076962963,RBM10
0.035,RBM10,0.2,RBM10
0.065,RBM10,0.2,RBM10
0.04,RBM10,0.07,RBM10
0.017,RBM10,0.065,RBM10
0.02,RBM10,0.073,RBM10
0.06,RBM10,0.23,RBM10
0.033,RBM10,0.08,RBM10
0.3,RBM10,0.065,RBM10
0.17,RBM10,0.06,RBM10
0.057783045,RBM10,0.04,RBM10
0.04,RBM10,0.150931891,RBM10
0.359692098,RBM10,0.040265925,RBM10
0.359692098,RBM10,0.0184,RBM10
0.040821575,RBM10,0.014382391,RBM10
0.108074533,RBM10,0.08273271,RBM10
0.085250293,RBM10,0.053804309,RBM10
0.233000019,RBM10,0.24909642,RBM10
0.119464993,RBM10,0.009952405,RBM10
0.093469871,RBM10,0.127718024,RBM10
0.197163778,RBM10,0.067708417,RBM10
0.11,RBM10+NS5,0.109,RBM10
0.011964087,RBM10+NS5,0.11,RBM10+NS5
0.03,RBM10+NS5,0.022099613,RBM10+NS5
0.053592289,RBM10+NS5,0.135074915,RBM10+NS5
0.01,RBM10+NS5,0.074844511,RBM10+NS5
0.08,RBM10+NS5,0.023498231,RBM10+NS5
0.460876858,RBM10+NS5,0.04,RBM10+NS5
0.1,RBM10+NS5,0.018383709,RBM10+NS5
0.060287851,RBM10+NS5,0.112362961,RBM10+NS5
0.056,RBM10+NS5,0.015816175,RBM10+NS5
0.22885617,RBM10+NS5,0.196099372,RBM10+NS5
0.036,RBM10+NS5,0.2,RBM10+NS5
0.046055969,RBM10+NS5,0.02881104,RBM10+NS5
0.081774446,RBM10+NS5,0.019982131,RBM10+NS5
0.011833863,RBM10+NS5,0.012582793,RBM10+NS5
0.041664735,RBM10+NS5,0.118173655,RBM10+NS5
0.207035744,RBM10+NS5,0.044543071,RBM10+NS5
0.029833965,RBM10+NS5,0.029708738,RBM10+NS5
0.06,RBM10+NS5,0.098,RBM10+NS5
0.06,RBM10+NS5,0.056275648,RBM10+NS5
0.024,RBM10+NS5,0.033778027,RBM10+NS5
