Figure,Crosstalk into Red Channel,Real Red Channel,,Figure,Time (s),V,R,ccpCF V-R,ccpCF R-V,,Figure,Time (s),V,R,ccpCF V-R,ccpCF R-V,,Figure,Crosstalk into Red Channel,Real Red Channel,,Figure,Time (s),V,R,ccpCF V-R,ccpCF R-V,,Figure,Time (s),V,R,ccpCF V-R,ccpCF R-V
Figure S2a,131,184,,Figure S2b,0.000387091,-0.281202894,-0.086740287,-0.060716572,-0.364889077,,FigureS2c,0.000387091,-0.281202894,-0.086740287,0,-2.174127847,,FigureS2d,131,184,,Figure S2e,0.000354043,0.014696139139301834,0.1660009410701489,0.035051158,0.1870275083096711,,Figure S2f,0.000354043,0.014696139139301834,0.1660009410701489,-2.261561703,-3.287339286
Figure S2a,126,185,,Figure S2b,0.000404574,-0.282118585,-0.0929443,-0.062959898,-0.361815721,,FigureS2c,0.000404574,-0.282118585,-0.0929443,-0.02250818,-2.122764045,,FigureS2d,126,185,,Figure S2e,0.000368386,0.01085719,0.16162284541786326,0.031272963,0.1796114125438615,,Figure S2f,0.000368386,0.01085719,0.16162284541786326,-2.259291556,-3.152222614
Figure S2a,116,162,,Figure S2b,0.000422846,-0.282696057,-0.098748695,-0.064964475,-0.35843441,,FigureS2c,0.000422846,-0.282696057,-0.098748695,-0.04595688,-2.071937723,,FigureS2d,116,162,,Figure S2e,0.00038331,0.007270193,0.15708990208725243,0.027633214273925465,0.17239388450298446,,Figure S2f,0.00038331,0.007270193,0.15708990208725243,-2.25659435,-3.010628948
Figure S2a,163,208,,Figure S2b,0.000441944,-0.282881888,-0.104045054,-0.066683963,-0.354721788,,FigureS2c,0.000441944,-0.282881888,-0.104045054,-0.070375047,-2.021839068,,FigureS2d,163,208,,Figure S2e,0.000398838,0.00398254,0.15242310030698167,0.024166523127268396,0.16542711640505303,,Figure S2f,0.000398838,0.00398254,0.15242310030698167,-2.253436316,-2.863062124
Figure S2a,134,165,,Figure S2b,0.000461904,-0.282666048,-0.108769853,-0.068099397,-0.350671674,,FigureS2c,0.000461904,-0.282666048,-0.108769853,-0.095842705,-1.97266008,,FigureS2d,134,165,,Figure S2e,0.000414996,0.001033012,0.1476430750986449,0.020907592912649663,0.15876030319202597,,Figure S2f,0.000414996,0.001033012,0.1476430750986449,-2.249750866,-2.710267118
Figure S2a,137,190,,Figure S2b,0.000482766,-0.282001663,-0.112829136,-0.069182653,-0.346269466,,FigureS2c,0.000482766,-0.282001663,-0.112829136,-0.122322708,-1.924544224,,FigureS2d,137,190,,Figure S2e,0.000431808,-0.001543467,0.1427728770655076,0.017903649,0.152449099,,Figure S2f,0.000431808,-0.001543467,0.1427728770655076,-2.245464023,-2.553000583
Figure S2a,174,181,,Figure S2b,0.00050457,-0.280885007,-0.116171571,-0.06991299,-0.341507857,,FigureS2c,0.00050457,-0.280885007,-0.116171571,-0.149881715,-1.877573413,,FigureS2d,174,181,,Figure S2e,0.000449301,-0.003713848,0.13783933752192357,0.015179995,0.14653145684758184,,Figure S2f,0.000449301,-0.003713848,0.13783933752192357,-2.240489168,-2.391974363
Figure S2a,134,147,,Figure S2b,0.000527358,-0.279287235,-0.118721239,-0.070265619,-0.33637607,,FigureS2c,0.000527358,-0.279287235,-0.118721239,-0.178436768,-1.831842281,,FigureS2d,134,147,,Figure S2e,0.000467503,-0.005458908,0.13286559233353518,0.012748372758959223,0.14103010944082153,,Figure S2f,0.000467503,-0.005458908,0.13286559233353518,-2.234769013,-2.228343129
Figure S2a,158,144,,Figure S2b,0.000551176,-0.277180727,-0.120412402,-0.070193301,-0.330844337,,FigureS2c,0.000551176,-0.277180727,-0.120412402,-0.208080217,-1.787410322,,FigureS2d,158,144,,Figure S2e,0.000486442,-0.006759649,0.1278795210131414,0.010650583222913089,0.13598510528207775,,Figure S2f,0.000486442,-0.006759649,0.1278795210131414,-2.228194901,-2.063051259
Figure S2a,159,208,,Figure S2b,0.00057607,-0.274572499,-0.121214773,-0.069687925,-0.324911929,,FigureS2c,0.00057607,-0.274572499,-0.121214773,-0.238886321,-1.744301186,,FigureS2d,159,208,,Figure S2e,0.000506148,-0.007605317,0.12290873354826776,0.008929648,0.13144063527777142,,Figure S2f,0.000506148,-0.007605317,0.12290873354826776,-2.220712585,-1.897181558
Figure S2a,174,171,,Figure S2b,0.000602088,-0.271425739,-0.121063055,-0.068710822,-0.318553789,,FigureS2c,0.000602088,-0.271425739,-0.121063055,-0.270964052,-1.702517611,,FigureS2d,174,171,,Figure S2e,0.000526653,-0.007995604,0.11797910858070176,0.007597516,0.12740913871124748,,Figure S2f,0.000526653,-0.007995604,0.11797910858070176,-2.212203116,-1.731855551
Figure S2a,179,182,,Figure S2b,0.000629281,-0.267744303,-0.119938225,-0.067255163,-0.31177187,,FigureS2c,0.000629281,-0.267744303,-0.119938225,-0.30441259,-1.661989402,,FigureS2d,179,182,,Figure S2e,0.000547989,-0.00792597,0.1131231603843302,0.006677143,0.12390898032928617,,Figure S2f,0.000547989,-0.00792597,0.1131231603843302,-2.202553211,-1.568284918
Figure S2a,164,176,,Figure S2b,0.000657702,-0.263542225,-0.1178387,-0.065274019,-0.304531646,,FigureS2c,0.000657702,-0.263542225,-0.1178387,-0.339269679,-1.622708749,,FigureS2d,164,176,,Figure S2e,0.000570188,-0.007413371,0.10835698688971425,0.006188421,0.1209542141207062,,Figure S2f,0.000570188,-0.007413371,0.10835698688971425,-2.19173485,-1.407702063
